id_student,code_module,code_presentation,risk_probability,avg_assessment_score,total_lms_clicks
30268,AAA,2013J,0.8798133410137241,75.71428571428571,281.0
65002,AAA,2013J,0.7054305168846946,67.0,176.0
74372,AAA,2013J,0.855412829430323,48.5,116.0
118983,AAA,2013J,0.7072572589720053,61.8,284.0
135335,AAA,2013J,0.9772719141829121,75.71428571428571,73.0
141377,AAA,2013J,0.7246363137211315,48.833333333333336,756.0
145130,AAA,2013J,0.747084550993768,54.4,452.0
146188,AAA,2013J,0.7434866623598093,50.0,597.0
147793,AAA,2013J,0.8344644610049317,52.0,155.0
151358,AAA,2013J,0.8192715772456315,50.0,270.0
175991,AAA,2013J,0.8817622671760591,37.6,138.0
205719,AAA,2013J,0.7776357746264785,56.666666666666664,333.0
240884,AAA,2013J,0.7261058596354676,58.4,427.0
260355,AAA,2013J,0.721005699008128,57.5,426.0
268733,AAA,2013J,0.8698800689504615,43.0,191.0
281250,AAA,2013J,0.8109318629875955,55.4,130.0
281589,AAA,2013J,0.9510876234949004,75.71428571428571,59.0
292923,AAA,2013J,0.9703505347484379,75.71428571428571,0.0
293699,AAA,2013J,0.8410825286328408,46.75,187.0
305152,AAA,2013J,0.7134774185582609,64.0,146.0
305539,AAA,2013J,0.9722580753855629,75.71428571428571,68.0
324282,AAA,2013J,0.7652101073440117,61.2,133.0
334259,AAA,2013J,0.7766536221033212,53.0,332.0
334333,AAA,2013J,0.8715510252412613,36.0,303.0
339972,AAA,2013J,0.7732142069573605,49.8,333.0
341872,AAA,2013J,0.7483926966857566,64.2,201.0
344282,AAA,2013J,0.8442177753966404,49.2,65.0
346843,AAA,2013J,0.9604052658984056,75.71428571428571,164.0
354858,AAA,2013J,0.9554558206352058,75.71428571428571,198.0
357668,AAA,2013J,0.7923185779672974,57.0,166.0
368194,AAA,2013J,0.7830331817701517,50.4,437.0
368824,AAA,2013J,0.7706489765894642,55.6,292.0
386924,AAA,2013J,0.7170458871162723,67.8,164.0
392756,AAA,2013J,0.8163974740609996,45.0,363.0
404804,AAA,2013J,0.8084904931501141,43.8,509.0
405961,AAA,2013J,0.9729842774568935,75.71428571428571,0.0
429958,AAA,2013J,0.7246463274928506,58.4,411.0
442442,AAA,2013J,0.7310460929677884,40.5,1009.0
494424,AAA,2013J,0.9510876234949004,75.71428571428571,58.0
564450,AAA,2013J,0.7886593758567463,59.2,224.0
581129,AAA,2013J,0.8526540532365504,40.0,194.0
1401935,AAA,2013J,0.8098786844623943,35.0,240.0
1763015,AAA,2013J,0.8509565758968389,75.71428571428571,420.0
1942396,AAA,2013J,0.7619110109029847,53.6,470.0
2065691,AAA,2013J,0.78696987218643,35.666666666666664,1430.0
2149225,AAA,2013J,0.8696667455125108,75.71428571428571,319.0
2278464,AAA,2013J,0.7551266161022687,51.4,307.0
2293923,AAA,2013J,0.7106822175367533,61.2,303.0
2324976,AAA,2013J,0.9420595667574752,75.71428571428571,0.0
2344901,AAA,2013J,0.7404565729820182,51.5,445.0
2365101,AAA,2013J,0.9709370633458453,75.71428571428571,0.0
2411661,AAA,2013J,0.7818677948048771,46.8,574.0
2429854,AAA,2013J,0.7038735992546868,51.0,953.0
2456480,AAA,2013J,0.8544382615818449,24.666666666666668,183.0
2469673,AAA,2013J,0.7758977447986998,44.5,523.0
2542724,AAA,2013J,0.8910134927329306,75.71428571428571,228.0
2552472,AAA,2013J,0.7324609137786698,53.5,519.0
2620584,AAA,2013J,0.9517636542337519,75.71428571428571,92.0
2669816,AAA,2013J,0.7406426361365558,57.2,280.0
2676809,AAA,2013J,0.8356363588846191,43.333333333333336,309.0
24734,AAA,2014J,0.7688650100573132,46.8,499.0
31600,AAA,2014J,0.7152892593961672,54.8,429.0
65002,AAA,2014J,0.7311648477931416,67.0,176.0
95755,AAA,2014J,0.7884703301814079,45.0,381.0
111512,AAA,2014J,0.8425319203806212,75.71428571428571,439.0
130636,AAA,2014J,0.7247784352022408,60.0,332.0
135335,AAA,2014J,0.9766032253578545,75.71428571428571,73.0
